nid,location,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook,member_level,public,private,subjects_offered lenth,rank
685129,41,7093.0,0.02,10.8,21.5,12.0,32.0,21.0,21.9,0,False,False,3,1800+
1010,41,21408.0,0.1,14.0,21.1,17.0,29.3,20.6,37.5,0,False,False,25,1800+
621684,8,6332.0,0.0,17.3,15.8,14.9,24.1,16.8,49.9,0,False,False,24,1800+
622203,21,18768.0,0.02,26.1,28.6,10.5,33.2,19.2,26.4,0,False,False,29,1800+
998,32,116354.0,0.01,44.2,21.9,11.3,36.9,22.8,38.2,0,False,False,30,1800+
670608,0,20688.0,0.0,21.1,16.0,7.9,27.0,16.3,43.3,0,False,False,24,1800+
718106,22,30016.0,0.0,22.5,11.5,8.2,14.5,16.6,23.5,0,False,False,22,1800+
625503,10,7151.0,0.02,13.7,18.9,10.1,15.1,18.5,43.2,0,False,False,25,1800+
662317,20,7614.0,0.07,13.8,25.6,14.2,19.0,23.0,33.5,0,False,False,24,1800+
609492,28,5414.0,0.03,7.5,27.9,12.5,23.5,47.9,26.5,0,False,False,12,1800+
670530,37,15705.0,0.02,21.0,13.5,12.9,24.3,26.4,44.2,0,False,False,32,1800+
695905,50,12282.0,0.0,30.9,12.1,16.6,38.2,33.9,23.8,0,False,False,8,1800+
625245,24,59475.0,0.0,17.9,15.8,9.9,15.6,28.6,19.0,0,False,False,35,1800+
589235,21,10260.0,0.07,23.4,28.4,9.7,26.2,22.2,42.3,0,False,False,28,1800+
131543,37,52685.0,0.02,34.4,12.5,9.8,37.3,18.9,49.4,0,False,False,36,1800+
715222,37,27880.0,0.03,20.4,13.8,8.9,22.2,17.3,61.1,0,False,False,21,1800+
623940,37,49225.0,0.06,14.5,19.4,11.8,30.0,57.8,37.5,0,False,False,31,1800+
708623,43,18253.0,0.05,19.6,15.2,13.2,34.9,18.3,39.4,0,False,False,33,1800+
623964,11,8938.0,0.11,16.0,20.4,16.6,25.7,19.3,50.4,0,False,False,24,1800+
710829,0,12828.0,0.0,11.7,23.2,14.5,21.1,30.1,32.3,0,False,False,33,1800+
131473,11,7164.0,0.09,12.8,21.7,17.4,18.7,32.8,39.7,0,False,False,27,1800+
626178,6,6861.0,0.0,15.4,21.3,11.7,26.3,18.3,27.3,0,False,False,29,1800+
632043,16,13266.0,0.16,12.8,24.4,11.1,20.5,31.0,79.8,0,False,False,26,1800+
639026,6,21345.0,0.0,16.7,16.1,10.5,13.6,18.9,26.1,0,False,False,17,1800+
685147,54,20982.0,0.0,21.0,14.8,10.0,35.3,18.2,23.2,0,False,False,32,1800+
707900,35,33012.0,0.0,23.5,22.7,9.0,18.2,20.6,34.7,0,False,False,33,1800+
661106,37,5745.0,0.2,14.2,19.4,16.9,24.1,23.3,59.5,0,False,False,22,1800+
700370,37,25323.0,0.01,26.8,12.7,11.7,22.8,20.1,32.1,0,False,False,36,1800+
722246,23,11223.0,0.3,38.4,23.4,12.5,31.6,20.5,47.3,0,False,False,23,1800+
699442,37,12999.0,0.03,15.5,19.7,18.4,31.2,31.7,28.8,0,False,False,22,1800+
621378,37,30176.0,0.03,22.6,13.4,13.6,19.1,19.8,57.9,0,False,False,27,1800+
131443,8,25210.0,0.03,19.8,16.0,15.1,27.5,28.1,46.5,0,False,False,29,1800+
131541,40,34837.0,0.07,13.3,19.8,9.7,33.6,20.4,64.4,0,False,False,34,1800+
677010,37,22458.0,0.04,13.5,20.2,11.2,20.8,26.6,28.7,0,False,False,34,1800+
655112,0,18552.0,0.01,9.6,24.7,7.2,9.8,17.8,31.2,0,False,False,10,1800+
647912,0,39888.0,0.0,20.0,16.5,8.5,15.2,25.0,33.5,0,False,False,14,1800+
609426,28,3209.0,0.03,11.9,23.1,13.0,15.4,57.1,27.0,0,False,False,5,1800+
131460,41,18354.0,0.05,11.3,24.0,14.4,25.7,23.3,31.3,0,False,False,21,1800+
625143,23,9387.0,0.0,20.7,20.1,11.3,25.8,21.6,23.5,0,False,False,34,1800+
625311,31,35094.0,0.01,27.0,13.8,8.4,13.7,28.2,33.8,0,False,False,32,1800+
670431,55,28909.0,0.02,13.3,26.1,10.2,32.1,21.8,41.3,0,False,False,31,1800+
672285,50,18212.0,0.0,22.8,12.3,9.2,38.0,17.7,36.4,0,False,False,34,1800+
660980,41,8253.0,0.07,8.3,24.2,18.9,28.1,16.6,32.2,0,False,False,8,1800+
625695,53,8114.0,0.03,17.6,17.1,17.1,14.8,29.3,33.9,0,False,False,22,1800+
131660,8,11786.0,0.01,14.8,18.1,14.2,33.4,34.4,52.1,0,False,False,25,1800+
625572,8,10206.0,0.02,18.0,20.8,15.3,31.1,20.9,48.7,0,False,False,17,1800+
131353,37,20855.0,0.01,10.9,20.7,8.8,10.5,24.0,50.0,0,False,False,32,1800+
131783,10,12320.0,0.01,17.3,18.8,14.0,29.4,24.6,51.1,0,False,False,28,1800+
609306,28,7563.0,0.03,9.4,25.4,13.5,25.4,38.4,38.7,0,False,False,35,1800+
695902,24,20728.0,0.0,13.7,18.5,8.8,14.3,16.4,30.3,0,False,False,36,1800+
624360,55,17667.0,0.02,11.3,30.9,10.4,22.7,25.4,38.6,0,False,False,20,1800+
131453,8,16626.0,0.03,18.5,16.5,12.5,21.9,18.9,46.7,0,False,False,21,1800+
718246,47,12497.0,0.01,29.0,20.4,26.0,18.1,17.6,46.6,0,False,False,28,1800+
660989,41,16211.0,0.03,18.0,18.2,15.2,40.4,24.8,23.9,0,False,False,32,1800+
685372,18,58700.0,0.0,42.0,9.6,10.5,37.6,26.5,24.4,0,False,False,18,1800+
720341,18,13097.0,0.02,30.6,12.5,13.4,42.1,28.1,28.4,0,False,False,17,1800+
589280,28,4621.0,0.06,6.0,28.9,13.4,21.3,47.8,29.2,0,False,False,28,1800+
670626,37,23677.0,0.02,26.9,15.1,9.9,29.2,21.4,55.3,0,False,False,36,1800+
587757,23,9644.0,0.0,23.3,19.3,10.0,37.9,22.8,28.3,0,False,False,27,1800+
707981,37,23476.0,0.0,18.3,14.2,10.6,39.3,21.0,50.9,0,False,False,35,1800+
689080,56,19071.0,0.11,26.6,12.4,10.4,24.0,16.6,32.2,0,False,False,27,1800+
720900,35,23491.0,0.0,19.0,15.0,8.1,35.7,16.0,47.4,0,False,False,18,1800+
589184,28,4840.0,0.05,14.2,21.0,12.2,9.2,30.7,28.6,0,False,False,32,1800+
131679,57,16477.0,0.1,13.2,17.9,9.1,6.2,16.8,40.2,0,False,False,32,1800+
688846,23,6050.0,0.01,21.5,12.9,10.2,32.6,19.2,22.9,0,False,False,19,1800+
624651,56,21003.0,0.03,17.3,21.8,22.0,20.8,37.9,22.2,0,False,False,36,1800+
722202,57,14265.0,0.0,17.1,14.2,9.4,20.1,16.0,22.4,0,False,False,25,1800+
625911,61,93371.0,0.01,28.2,14.2,12.7,29.6,40.5,35.1,0,False,False,36,1800+
622230,21,7816.0,0.03,12.2,21.7,7.9,34.9,20.8,24.0,0,False,False,12,1800+
722631,21,13458.0,0.0,8.2,26.8,8.4,42.3,16.1,17.9,0,False,False,16,1800+
131424,57,17491.0,0.28,8.3,26.3,10.9,9.2,40.0,47.2,0,False,False,32,1800+
707293,44,8351.0,0.24,8.3,23.9,9.2,5.0,17.5,40.4,0,False,False,7,1800+
587679,44,11918.0,0.12,13.2,19.2,9.9,13.9,19.1,29.8,0,False,False,13,1800+
131651,44,7763.0,0.05,12.4,21.1,13.6,22.6,16.1,26.4,0,False,False,27,1800+
701434,44,10528.0,0.08,12.8,20.5,8.2,21.8,18.9,26.4,0,False,False,16,1800+
131433,44,17966.0,0.13,11.1,24.8,11.0,6.6,17.8,35.3,0,False,False,28,1800+
716711,24,21254.0,0.0,16.0,16.3,9.0,43.0,16.2,28.1,0,False,False,32,1800+
685018,41,6523.0,0.05,14.8,22.2,14.1,32.7,37.7,32.3,0,False,False,9,1800+
131669,28,10310.0,0.05,10.9,28.2,13.9,22.3,58.2,32.0,0,False,False,36,1800+
623142,9,26717.0,0.0,19.2,15.4,9.4,24.4,25.6,21.9,0,False,False,31,1800+
623463,9,39528.0,0.01,13.0,20.2,12.0,39.7,49.1,20.6,0,False,False,26,1800+
624663,56,17506.0,0.06,29.9,20.5,12.1,22.1,49.6,40.1,0,False,False,28,1800+
715426,37,13923.0,0.03,8.0,24.8,8.8,8.7,20.9,39.0,0,False,False,3,1800+
626145,57,12377.0,0.01,12.5,18.0,9.8,8.8,17.2,28.5,0,False,False,27,1800+
625941,56,22844.0,0.1,22.9,12.5,11.1,25.1,19.3,29.3,0,False,False,30,1800+
